LIMIT_BAL,AGE,SEX,EDUCATION,MARRIAGE,UTILIZATION_RATE,PAY_DELAY_MONTHS,default
81019.09,25,1,2,2,0.1170577104242145,3,1
185580.74,40,2,1,1,0.6646052598567818,2,1
220611.03,39,2,2,1,0.1489981944449983,1,0
57690.61,33,1,1,2,0.0752124868252359,2,0
179415.86,27,2,1,2,0.2808618374679584,1,0
146216.72,62,1,2,1,0.3954111466350097,1,1
78802.14,62,2,1,2,0.5569524543606899,1,1
214487.64,37,1,2,2,0.1076101509317045,3,1
190569.83,58,1,3,2,0.4102717512733008,1,0
174013.03,51,1,1,2,0.4591139263649224,2,1
238059.41,59,2,2,2,0.7335526382102229,2,1
119762.77,49,2,2,1,0.4501032448410716,0,0
153004.3,26,1,2,1,0.2208428092954218,1,0
218824.82,34,1,1,2,0.1530899111422124,1,0
120531.76,22,2,1,2,0.3185591166762572,0,0
146523.39,56,1,2,2,0.4617676779265632,1,1
153800.27,52,1,4,1,0.4361394877313467,2,0
216020.7,68,2,1,2,0.4318254986316657,0,1
156553.26,64,1,1,1,0.2507471167495951,1,0
114616.53,59,1,2,2,0.1112801201695735,1,1
121482.43,36,1,3,1,0.5149665981367635,0,0
82153.22,33,1,2,1,0.0476204277955216,2,0
205193.87,46,1,1,1,0.3836242773344533,1,1
149036.98,67,1,2,1,0.2541432138999885,3,1
121441.05,45,1,2,3,0.1102951290480837,0,0
200081.59,64,1,3,1,0.2444024078763238,1,0
263572.49,61,1,2,2,0.2489100035364349,1,1
122317.53,44,1,1,3,0.084154037605312,1,1
146712.49,68,1,2,2,0.2284907747337909,3,1
165926.05,52,2,2,3,0.2561870473840873,0,0
184068.12,44,1,2,1,0.1198889581047208,1,0
211014.14,63,1,2,1,0.0727254955964855,0,0
145595.44,69,1,1,2,0.2221481032098484,0,0
207301.38,64,1,3,2,0.3477932956403334,1,1
39443.23,60,1,2,1,0.0356836249010234,2,1
202694.58,39,1,3,1,0.3597641917055553,2,0
184760.15,29,2,2,2,0.1228426955296674,0,1
103665.08,36,2,3,1,0.2095228452527152,2,1
240622.43,68,2,2,1,0.1804962279175736,1,0
66570.04,26,1,4,2,0.3098704968593537,1,1
168510.59,42,1,1,1,0.3413172771928213,3,1
172431.79,32,1,3,1,0.1965518654795865,0,0
107651.93,43,1,1,2,0.319370878947533,0,1
162150.24,59,2,1,1,0.3237122453241188,1,0
163949.71,29,2,3,1,0.4461637088661431,1,0
196621.74,32,2,3,3,0.310882993362429,3,1
156315.71,43,1,1,2,0.2309297405306444,0,1
190699.04,62,2,2,2,0.196530617354234,0,0
192623.43,22,1,1,2,0.2803518320174322,1,0
168374.08,46,1,1,3,0.7182217723722596,1,1
206977.78,26,1,2,1,0.3095119488349644,5,0
154191.33,66,1,3,1,0.4358082898194738,2,1
160636.99,64,1,2,2,0.4101442254886216,0,0
98941.88,56,1,2,1,0.2640004969623256,5,1
226401.57,22,1,1,3,0.0544742177157588,4,1
88964.38,38,1,1,1,0.2710066359419943,2,1
156534.5,64,2,1,1,0.2290925873221154,1,0
124339.32,47,1,3,1,0.2779403355778563,0,1
92442.31,33,1,2,2,0.3430038179125391,1,1
213285.39,42,2,3,3,0.08878602213013,2,0
108575.15,42,1,1,1,0.0879050708634988,1,1
214637.26,21,1,2,3,0.2179946211458679,2,0
50621.55,65,1,3,3,0.1397152072080062,0,1
153562.69,42,1,1,1,0.2074464716462678,0,0
144976.21,27,2,1,2,0.3707390720842874,1,1
208986.26,46,1,1,2,0.2830196115491225,0,0
171827.99,22,1,3,2,0.4852020490956276,0,1
101075.02,46,1,2,2,0.4891853234321258,1,1
86533.48,32,1,1,3,0.3014833428855457,1,1
108896.2,49,2,3,2,0.2124449794944043,0,1
195915.83,64,2,1,1,0.2502982443992946,1,0
185035.03,34,2,1,2,0.4236847980140879,1,1
155526.77,44,2,1,1,0.3373952685251062,0,0
143524.14,50,2,2,1,0.4086633643602155,0,1
178629.14,44,1,1,3,0.6002790567641956,2,1
141352.7,25,1,3,3,0.265985602508245,1,0
159531.78,53,2,1,2,0.1576173236137763,1,0
109153.22,57,1,3,1,0.5902956104799736,3,1
112410.45,29,2,2,3,0.3316845253251531,1,1
270170.78,43,1,1,1,0.1711427473982283,3,0
81119.12,30,1,2,1,0.0924660226149348,0,0
23522.0,38,1,2,1,0.3332080388859563,1,1
184642.88,45,2,3,2,0.1823574554859085,0,0
88282.56,51,1,1,1,0.4196438340450276,0,0
171738.5,24,1,1,3,0.1861668851704136,4,1
140807.31,66,1,2,2,0.7400453147739787,0,1
243839.79,22,1,2,1,0.0564539475740159,2,1
175695.39,39,2,2,1,0.5160525411727213,1,0
168380.99,42,1,1,1,0.1531886069328061,0,1
178868.18,69,1,2,2,0.4237965978597667,2,1
143086.78,21,2,1,1,0.1782299900479034,1,1
99719.93,44,2,1,2,0.1651897727834565,1,0
203488.57,46,1,1,2,0.3841632887534467,2,1
101716.76,21,1,3,1,0.4093188033574758,3,0
242468.11,67,2,3,2,0.3785224546914559,2,0
154352.35,58,2,1,2,0.0744933150596014,0,0
188002.8,27,2,2,2,0.1295776362535051,3,1
160550.87,51,2,4,1,0.3591162963879335,3,1
110373.96,50,2,1,3,0.3927676600499421,0,1
202003.09,53,1,1,2,0.2559658716950654,1,0
73294.29,54,2,4,1,0.2514151435349185,1,1
119800.97,64,2,1,1,0.1498402815960519,2,1
73717.18,21,1,2,2,0.3378166458464686,0,1
177662.56,43,2,3,2,0.1276521536779059,4,0
189713.23,47,2,1,3,0.2827441990532208,1,0
254659.9,30,1,1,2,0.2515599695612433,0,0
144634.89,52,1,1,2,0.3034976077915621,0,1
