LIMIT_BAL,AGE,SEX,EDUCATION,MARRIAGE,UTILIZATION_RATE,PAY_DELAY_MONTHS,default
174835.70765056164,60,1,1,1,0.08671201929267879,1,0
143086.78494144077,21,2,1,1,0.1782299900479034,1,1
182384.42690503463,24,1,1,2,0.3585303558420993,0,1
226151.49282040127,50,1,1,2,0.5238107692020291,0,0
138292.3312638332,32,2,3,3,0.3229658942263438,3,1
138293.15215254098,55,2,3,1,0.39108359836670853,0,1
228960.64077536957,33,2,3,2,0.09047529448001891,0,0
188371.73645764543,51,1,2,1,0.39092771724234626,1,1
126526.2807032524,58,1,2,2,0.5038872272109552,0,1
177128.00217929823,63,2,2,2,0.5667404281433126,0,1
126829.11535937688,43,2,1,1,0.1657474300897835,2,0
126713.51232148716,24,1,3,1,0.19961134107949605,2,1
162098.1135783017,36,2,2,1,0.27067249720698816,0,1
54335.9877671101,27,1,2,1,0.5315906206375944,1,1
63754.10837434836,42,2,2,2,0.03766216114500195,1,1
121885.62353795137,49,2,3,1,0.09300757241496752,1,0
99358.44398327882,31,2,1,2,0.16284802071173374,2,0
165712.36662976368,53,2,1,1,0.2815970645194099,0,0
104598.79622393945,49,2,3,2,0.2601757356223757,1,0
79384.81493323542,59,1,2,2,0.192105855116343,1,1
223282.4384460777,32,1,3,2,0.10343177462194324,2,0
138711.1849756732,27,1,1,2,0.3651265630611726,1,1
153376.4102343962,59,1,1,1,0.26676623808006317,1,0
78762.59068932716,62,2,3,2,0.27206255558582193,3,1
122780.86377374087,68,1,2,1,0.5369083589342619,3,1
155546.1294854933,46,1,2,1,0.2573334234657683,3,1
92450.32112888485,60,1,1,1,0.28046987620624614,1,1
168784.9009172836,29,2,1,2,0.3255090994441128,0,0
119968.06550405975,61,1,2,2,0.3472179289202708,0,1
135415.31251033617,54,1,1,2,0.1752781872138589,2,1
119914.66938853015,65,1,3,1,0.6527599941127533,5,1
242613.90922544687,33,2,3,1,0.10742678414557481,2,0
149325.1387631033,56,1,1,3,0.46032399145758746,1,0
97114.45355220498,45,2,2,2,0.4086963878279839,1,1
191127.24560515943,44,1,2,1,0.24083046957958493,0,0
88957.81750144888,64,1,1,2,0.2646752723595481,0,1
160443.17975023776,37,2,1,1,0.08014932572272415,1,1
52016.49380601122,22,1,2,1,0.46826792821778573,3,1
83590.69755507847,33,1,2,1,0.2991473523712901,1,0
159843.06179345617,51,1,2,1,0.3849551819796011,0,1
186923.3289997705,49,1,2,1,0.5672634981019297,2,0
158568.41405949852,48,1,3,2,0.10154565168429103,1,1
144217.58588058798,47,1,3,2,0.22013457238917772,3,0
134944.81522053556,35,1,2,2,0.42785456559361906,2,1
76073.90048162863,51,1,3,2,0.2174747390710751,1,0
114007.78958026457,60,2,1,3,0.27641023797101605,1,1
126968.06145201062,35,2,3,1,0.36695083744491397,0,1
202856.1113109458,53,1,2,2,0.1478649406718276,2,1
167180.91447842307,40,1,3,2,0.45651062428468964,1,1
61847.9922318633,62,1,2,1,0.35425431039875294,2,1
166204.19846973976,32,1,1,1,0.4348977264114536,3,0
130745.88597918417,57,1,2,2,0.2687650341192779,1,1
116153.89998470206,29,1,1,2,0.23235150017679929,4,1
180583.8144420434,43,1,2,1,0.48518014442119195,5,1
201549.97612479754,28,1,2,2,0.057004002361786016,3,1
196564.00595580993,52,1,3,2,0.22172934070693107,0,1
108039.12383886808,68,2,2,1,0.13594097677213976,1,0
134539.38120743926,34,1,2,2,0.3091556027445841,0,0
166563.1715701782,47,2,1,2,0.20457098543971358,1,0
