order_id,order_date,ship_date,customer_id,segment,region,city,channel,payment_method,product_id,category,subcategory,product_name,quantity,unit_price,discount_pct,sales,cost,profit
ORDMSAVIDHF,2023-04-08,2023-04-12,CAATFFBQ,Consumer,Quebec,Montreal,Online,Credit Card,1102,Office Supplies,Storage,Storage Item 13,6,106.59,0.0,639.55,287.8,351.75
ORDFL2C7WPA,2025-04-28,2025-05-01,C8DS55AS,Consumer,Ontario,Kitchener,Online,Credit Card,1009,Technology,Phones,Phones Item 10,4,805.4,0.0,3221.59,1997.39,1224.2
ORD4YCHCTSK,2024-12-18,2024-12-18,CHQBL8U3,Home Office,Ontario,Mississauga,Online,Credit Card,1089,Office Supplies,Binders,Binders Item 15,5,21.96,0.05,104.31,49.41,54.9
ORDXGB3MPIY,2024-04-26,2024-04-26,CZ9IR8IE,Consumer,Prince Edward Island,Summerside,In-Store,Credit Card,1128,Office Supplies,Labels,Labels Item 9,1,19.97,0.1,17.97,8.99,8.98
ORDQNFBW7MU,2024-04-19,2024-04-23,CK6U6A85,Consumer,Ontario,Windsor,In-Store,Credit Card,1040,Technology,Computers,Computers Item 11,4,291.61,0.0,1166.45,723.2,443.25
ORD0CP7S2EZ,2025-07-30,2025-08-03,C5T0YZ25,Consumer,Ontario,Ottawa,Online,Debit,1060,Office Supplies,Paper,Paper Item 1,4,61.16,0.0,244.64,110.09,134.55
ORDQWHQS7WO,2023-04-05,2023-04-09,CR4ZGTWH,Consumer,Ontario,Brampton,Wholesale,Credit Card,1020,Technology,Accessories,Accessories Item 6,3,810.49,0.3,1702.04,1507.52,194.52
ORDG0O56V6Q,2025-02-03,2025-02-04,CFZLUUY3,Corporate,Nova Scotia,Halifax,In-Store,Debit,1010,Technology,Phones,Phones Item 11,4,934.88,0.0,3739.51,2318.5,1421.01
ORDBEJYMMQ9,2023-08-09,2023-08-13,C29DU5D6,Consumer,Alberta,Edmonton,Online,Credit Card,1103,Office Supplies,Storage,Storage Item 14,2,78.16,0.0,156.33,70.35,85.98
ORD174JNUGH,2023-04-14,2023-04-14,C8CHKB48,Corporate,Quebec,Quebec City,Online,Credit Card,1028,Technology,Accessories,Accessories Item 14,2,1038.45,0.0,2076.89,1287.67,789.22
ORD9XY8VCXK,2024-07-31,2024-08-01,C1B0AIQZ,Corporate,New Brunswick,Fredericton,Online,Credit Card,1169,Furniture,Bookcases,Bookcases Item 5,5,447.57,0.05,2125.96,1230.82,895.14
ORDGV9DVWU3,2025-12-05,2025-12-08,CT5IGL99,Consumer,Ontario,Mississauga,Wholesale,Debit,1000,Technology,Phones,Phones Item 1,6,287.23,0.0,1723.39,1068.5,654.89
